time_bins,mean_CPU_usage_rate,canonical_memory_usage,assigned_memory_usage,unmapped_page_cache_memory_usage,total_page_cache_memory_usage,mean_disk_I/O_time,mean_local_disk_space_used,cycles_per_instruction,memory_accesses_per_instruction,sampled_CPU_usage,maximum_memory_usage,maximum_CPU_usage,maximum_disk_IO_time
1970-01-01 00:10:00,2432.1360299448033,2779.768916431636,3499.569524700293,344.2460264392899,865.1971852023013,233.57944646923553,14.347786686401278,582493.8504999878,1907.2970611206101,1448.4332763360057,0.752,1.861,1.07
1970-01-01 00:15:00,2438.38635457403,2780.343308176954,3503.840613550237,344.75264182810304,855.9538038925857,234.6439414681445,14.427209289801318,591283.9382999843,1941.7805800866456,1438.3953398397064,0.752,1.656,1.041
1970-01-01 00:20:00,2521.1974570350094,2770.4131703459198,3499.1462487002764,343.62304947759657,856.7719370239778,291.43411035104845,14.36115292960159,611230.1235999994,2020.764613658525,1536.20410482152,0.752,2.223,1.197
1970-01-01 00:25:00,3026.109501518018,2791.0838262669763,3519.2095663003793,340.9331418280916,854.1642833929867,273.5341858071574,14.36842052860001,625163.8176000098,2056.182405414741,2004.5559392396076,0.752,1.365,1.811
1970-01-01 00:30:00,2813.396329766022,2744.1654766499328,3466.0828473003216,338.428858253596,850.4236480495807,269.8171784592452,14.324806782601087,594881.821900006,1968.7871733763434,1785.0767267630936,0.752,2.422,0.9834
1970-01-01 00:35:00,3353.417472726194,2835.321438869392,3569.694524300478,359.1817192131011,871.1736723376838,407.0144457093224,14.97770657450231,636112.146699992,2087.520254284724,2321.6985679393033,0.752,4.125,1.135
1970-01-01 00:40:00,2843.0194648577635,2854.0985811050546,3592.3779656504803,346.04114553409744,857.3706599200851,386.8381342721331,14.450419050499828,684568.7461000072,2230.08329390579,1803.5213612346042,0.752,4.109,1.16
1970-01-01 00:45:00,2412.2891116130036,2801.364908898912,3527.2099747702428,336.85660956279213,856.7157723205762,422.43154138052984,14.315939183700317,675060.2422999978,2196.3384273085903,1367.1591650303112,0.752,3.824,1.084
1970-01-01 00:50:00,2389.774219413001,2850.4542155146855,3564.8849254001957,336.42297478798986,892.3641710702902,388.1863578661465,14.27825599099973,632426.4309999938,2086.542725733114,1381.4840960421063,0.752,2.242,0.8809
1970-01-01 00:55:00,2622.1542415050385,2861.728771555023,3573.4396698004784,336.66318900569223,895.2171440592894,371.54984541462545,14.316127506800608,609551.1954999986,2041.046979214031,1598.7679360989064,0.752,4.484,0.7598
1970-01-01 01:00:00,2754.577851232929,2886.659182372007,3597.8488331003746,334.88802418819614,894.2562750519043,473.41218400073933,14.302632377399622,606875.8682000072,2015.4111620979518,1643.4244296346053,0.752,1.449,0.8799
1970-01-01 01:05:00,2698.3525689600338,2902.699909698946,3612.7524001904158,335.69601785049514,895.339541333586,458.3095308650235,14.294086652900626,609840.3875999884,2005.6639999221265,1601.779228083698,0.752,4.938,1.123
1970-01-01 01:10:00,2616.622268584024,2896.7684716726953,3609.540994500378,337.89624618259654,899.0801324019915,404.33868819535155,14.337932062802638,612775.9165000076,2026.5130982433063,1544.7163965739906,0.752,1.656,0.96
1970-01-01 01:15:00,2437.900875895737,2890.773854467992,3600.418379400372,338.5815576207972,898.2039246825987,366.0974613138333,14.290988836301615,602566.4806599977,1984.516121407521,1419.5550377007012,0.752,1.154,1.162
1970-01-01 01:20:00,2396.9145926500446,2869.725014994994,3581.5011101003915,338.5522944861066,890.0523224502833,330.912857137632,14.32502459040224,607744.6386000034,1994.8994390383941,1407.8610322158088,0.752,2.652,1.127
1970-01-01 01:25:00,2194.592370702078,2784.944756596642,3497.0210481002105,340.75305931080254,857.7968931348994,398.63776972772007,14.435160064002217,599725.6219999993,1956.550364211615,1197.9842887573088,0.752,14.36,1.156
1970-01-01 01:30:00,2078.375619722733,2719.6696600938985,3428.600447450291,345.1626320118937,843.922559974289,375.95764920072384,14.421908552502034,584349.195999999,1914.709288433211,1108.6234430300858,0.752,2.234,0.9932
1970-01-01 01:35:00,2127.6739293317105,2702.4742872543875,3406.8404335922946,344.5284668264948,843.3143549116904,349.73477958021215,14.38469306410122,566321.5125000032,1858.7337397152328,1193.2042466215028,0.752,2.281,0.9277
1970-01-01 01:40:00,2125.2896692510362,2706.3935613826834,3409.0460921503745,344.18319302899664,844.9520990655917,332.35202594593613,14.380837127901303,577151.4704999935,1892.6424162541193,1207.837285398097,0.752,2.258,0.9463
1970-01-01 01:45:00,2054.0902602670135,2717.626470574919,3422.428689766398,343.1746278018963,844.7147379476061,316.2184369731244,14.412264595699694,578541.7318999958,1888.5762043666048,1132.0603685159003,0.752,18.28,1.139
1970-01-01 01:50:00,2234.6310303160585,2722.760373185642,3427.642329600358,339.1716162480943,841.6936255535962,337.6276865735255,14.378678664701095,579124.246400002,1891.422875498418,1252.7702578916035,0.752,10.25,1.203
1970-01-01 01:55:00,2310.4433018290038,2750.07392410687,3453.415535700332,338.17569839639896,842.504994421893,388.75065893971464,14.420624451700556,581982.455700009,1907.5549559171473,1296.67915062059,0.752,1.602,1.287
1970-01-01 02:00:00,2277.365714849035,2763.146081755904,3463.182219350422,338.1701739870027,843.1156621572902,402.44432687802845,14.375326917199919,588058.5647000052,1927.2146021362048,1242.6609306562113,0.752,9.641,1.23
1970-01-01 02:05:00,2253.4753580569813,2758.0787964009264,3457.9395197004046,341.29667379989235,848.3428959675806,398.3841076837267,14.433602300899448,588502.0480000081,1918.896673759141,1237.3803999711145,0.752,2.516,1.033
